#./odf_intra.dat
# odfintra Version: intra-chain ODF with P2 and pxy
# 4080 vectors per frame, 102 vectors per chain, 40 chains
# P1(n) = <u(0)u(n)> = <costhe>  
# P2(n) = 1/2*<3*(u(0)u(n))^2 - 1> = 1/2<3*costhe^2 - 1> 2nd Legendre polynomial 
# P2 values +1: Parallel, -0.5: orthogonal, 0: No correlation # u(0) u(n) are unit vectors at distance n bonds.  
# n  P1  P2  pxy  pxy2  xx yy zz  x4 y4 z4  xxyy xxzz yyzz
# frames 1
49 0.061566502 -0.000721673 0.0258222 1.30308 0.00264052 0.039525 0.019401 0.105826 0.112659 0.116824 0.00153606 -0.000264107 -0.00250011
50 0.039833119 0.0074680058 -0.0180421 1.33645 -0.0103331 0.0277356 0.0224306 0.106464 0.116409 0.115249 0.000670554 -0.000449702 -0.000126278
51 0.032001842 -0.012099744 0.00746994 1.35344 -0.000218309 0.0193866 0.0128335 0.106019 0.108131 0.11512 0.000418945 -0.00193452 -0.000485905
52 0.026113602 0.018251578 -0.00965899 1.32015 -0.012825 0.0169621 0.0219765 0.105438 0.117762 0.116333 -0.000561711 0.00133051 0.00221533
53 0.013787109 -0.014090154 -0.0218076 1.36654 -0.0147779 0.0115914 0.0169735 0.104675 0.110617 0.113971 -0.00152204 -0.00236686 0.0012272
54 0.0049324263 0.023514275 0.0352009 1.31412 -0.00460279 -0.00193538 0.0114706 0.105051 0.118315 0.117697 0.00167824 0.00063655 0.00165805
55 0.012853479 0.0052586219 0.0446352 1.3449 -0.000533656 0.00874241 0.00464472 0.105731 0.110555 0.116822 0.0015363 0.00105767 -0.000728745
56 0.019953788 0.0017628698 -0.00881919 1.32157 -0.00241109 0.0081065 0.0142584 0.105121 0.111867 0.118653 -0.00121346 -0.000265403 0.000912435
57 0.027959247 -0.0059707273 0.0501608 1.34385 0.00587203 0.0123219 0.00976527 0.104092 0.113178 0.115817 -0.00164636 0.00103516 -0.00125563
58 0.015947073 0.0094067051 0.0511347 1.29125 -0.000801947 0.00959966 0.00714936 0.107773 0.115653 0.120623 -0.00124306 -0.000818433 -0.000160826
59 0.0067369784 -0.0060780063 0.0257076 1.34014 -0.0024982 0.0084681 0.000767078 0.103986 0.112824 0.110741 0.0014701 -0.000126513 -0.000479042
60 0.0076245229 0.007026014 0.0593762 1.31879 0.00210359 0.0148772 -0.00935624 0.10596 0.11639 0.116517 -0.000349247 -0.00111163 0.00103581
61 0.0026792143 -0.0043705519 0.0751965 1.35215 0.000924851 0.0150348 -0.0132805 0.104965 0.109569 0.11215 0.00124294 0.000174556 0.000450406
62 -6.452354e-05 -0.014365997 0.0706446 1.34236 -0.00352914 0.0164669 -0.0130023 0.100913 0.112468 0.111945 -0.000208177 -0.000402859 -0.000173992
63 -0.00283267 0.018864267 0.115401 1.24151 -0.0035038 0.00959643 -0.00892529 0.110088 0.114097 0.116429 0.00225001 0.000278218 0.000119609
64 0.030699881 0.0061441259 0.131113 1.34484 0.00384242 0.0195397 0.00731775 0.105753 0.114943 0.1139 -0.000158079 0.000699514 0.000875022
65 0.0070872313 0.0040920679 0.119262 1.3081 -0.00439597 0.0171994 -0.00571623 0.105792 0.111663 0.116714 0.00114891 0.000177914 -0.000380989
66 0.024520977 -0.0096101593 0.141147 1.26551 0.00856118 0.0143221 0.00163771 0.103378 0.113692 0.114415 -0.000880994 -0.000713691 -0.000684668
67 0.020948557 0.0089246464 0.111448 1.29179 0.00266896 0.0156834 0.00259623 0.105198 0.113561 0.117267 -0.000406092 0.0013287 0.000705553
68 0.012066553 -0.0020502638 0.104547 1.2952 -0.0048336 0.0100967 0.00680344 0.104055 0.11446 0.112239 0.000269077 0.00151996 -0.00118311
69 0.0085496019 -0.0069020625 0.0905428 1.25193 -0.00675708 0.00971426 0.00559242 0.107346 0.112435 0.11181 0.00167265 -0.000890529 -0.00221185
70 0.0058619457 -0.0068183785 0.0774099 1.31662 -0.0066989 0.00311543 0.00944541 0.10214 0.10964 0.116262 -0.00327703 0.000939702 0.00270986
71 0.020612146 -0.0048602484 0.070335 1.2684 -0.017649 0.0160629 0.0221983 0.10571 0.112995 0.114425 0.00183743 -0.00202019 -0.00133555
72 0.016011395 0.0106497 -0.00827493 1.32969 -0.00481769 0.0141402 0.00668893 0.107537 0.113954 0.111349 -0.00218429 0.00290016 0.00308053
73 0.0026804514 -0.0057841721 0.00395839 1.30873 -0.0106048 0.00868265 0.00460259 0.107526 0.115835 0.115086 -0.0014033 -0.000616869 -0.00246486
